Rank;State or Union Territory;Population;National Share (%);Decadal growth;Rural population;Percent rural;Urban population;Percent urban;Population Density;Sex ratio
1 (S1);Uttar Pradesh;199,812,341;16.51%;20.20%;155,317,278;77.73%;44,495,063;22.27%;828/km2 (2,140/sq mi);912
2 (S2);Maharashtra;112,374,333;9.28%;16%;61,556,074;54.78%;50,818,259;45.22%;365/km2 (950/sq mi);929
3 (S3);Bihar;104,099,452;8.60%;25.40%;92,341,436;88.71%;11,758,016;11.29%;1,102/km2 (2,850/sq mi);918
4 (S4);West Bengal;91,276,115;7.54%;13.80%;62,183,113;68.13%;29,093,002;31.87%;1,029/km2 (2,670/sq mi);953
5 (S5);Madhya Pradesh;72,626,809;6%;20.30%;52,557,404;72.37%;20,069,405;27.63%;236/km2 (610/sq mi);931
6 (S6);Tamil Nadu;72,147,030;5.96%;15.60%;37,229,590;51.60%;34,917,440;48.40%;555/km2 (1,440/sq mi);996
7 (S7);Rajasthan;68,548,437;5.66%;21.30%;51,500,352;75.13%;17,048,085;24.87%;201/km2 (520/sq mi);928
8 (S8);Karnataka;61,095,297;5.05%;15.60%;37,469,335;61.33%;23,625,962;38.67%;319/km2 (830/sq mi);973
9 (S9);Gujarat;60,439,692;4.99%;19.30%;34,694,609;57.40%;25,745,083;42.60%;308/km2 (800/sq mi);919
10 (S10);Andhra Pradesh;49,577,103[b];4.10%;11.00%;34,966,693;70.53%;14,610,410;29.47%;303/km2 (780/sq mi);993
11 (S11);Odisha;41,974,219;3.47%;14.00%;34,970,562;83.31%;7,003,656;16.69%;269/km2 (700/sq mi);979
12 (S12);Telangana;35,003,674;2.89%;13.58%;21,395,009;61.12%;13,608,665;38.88%;312/km2 (810/sq mi);988
13 (S13);Kerala;33,406,061;2.76%;4.90%;17,471,135;52.30%;15,934,926;47.70%;859/km2 (2,220/sq mi);1,084
14 (S14);Jharkhand;32,988,134;2.73%;22.40%;25,055,073;75.95%;7,933,061;24.05%;414/km2 (1,070/sq mi);948
15 (S15);Assam;31,205,576;2.58%;17.10%;26,807,034;85.90%;4,398,542;14.10%;398/km2 (1,030/sq mi);958
16 (S16);Punjab;27,743,338;2.29%;13.89%;17,344,192;62.52%;10,399,146;37.48%;551/km2 (1,430/sq mi);895
17 (S17);Chhattisgarh;25,545,198;2.11%;22.60%;19,607,961;76.76%;5,937,237;23.24%;189/km2 (490/sq mi);991
18 (S18);Haryana;25,351,462;2.09%;19.90%;16,509,359;65.12%;8,842,103;34.88%;573/km2 (1,480/sq mi);879
19 (UT1);NCT of Delhi;16,787,941;1.39%;21.20%;419,042;2.50%;16,368,899;97.50%;11,297/km2 (29,260/sq mi);868
20 (UT2);Jammu and Kashmir;12,267,032;1.01%;23.60%;9,064,220;73.89%;3,202,812;26.11%;297/km2 (770/sq mi);890
21 (S19);Uttarakhand;10,086,292;0.83%;18.80%;7,036,954;69.77%;3,049,338;30.23%;189/km2 (490/sq mi);963
22 (S20);Himachal Pradesh;6,864,602;0.57%;12.90%;6,176,050;89.97%;688,552;10.03%;123/km2 (320/sq mi);972
23 (S21);Tripura;3,673,917;0.30%;14.80%;2,712,464;73.83%;961,453;26.17%;350/km2 (910/sq mi);960
24 (S22);Meghalaya;2,966,889;0.25%;27.90%;2,371,439;79.93%;595,450;20.07%;132/km2 (340/sq mi);989
25 (S23);Manipur;2,570,390;0.21%;24.50%;1,793,875;69.79%;776,515;30.21%;122/km2 (320/sq mi);992
26 (S24);Nagaland;1,978,502;0.16%;−0.6%;1,407,536;71.14%;570,966;28.86%;119/km2 (310/sq mi);931
27 (S25);Goa;1,458,545;0.12%;8.20%;551,731;37.83%;906,814;62.17%;394/km2 (1,020/sq mi);973
28 (S26);Arunachal Pradesh;1,383,727;0.11%;26.00%;1,066,358;77.06%;317,369;22.94%;17/km2 (44/sq mi);938
29 (UT3);Puducherry;1,247,953;0.10%;28.10%;395,200;31.67%;852,753;68.33%;2,598/km2 (6,730/sq mi);1,037
30 (S27);Mizoram;1,097,206;0.09%;23.50%;525,435;47.89%;571,771;52.11%;52/km2 (130/sq mi);976
31 (UT4);Chandigarh;1,055,450;0.09%;17.20%;28,991;2.75%;1,026,459;97.25%;9,252/km2 (23,960/sq mi);818
32 (S28);Sikkim;610,577;0.05%;12.90%;456,999;74.85%;153,578;25.15%;86/km2 (220/sq mi);890
33 (UT5);Dadara & Nagar Havelli;585,764;0.05%;55.10%;243,510;41.57%;342,254;58.43%;970/km2 (2,500/sq mi);711
34 (UT6);Andaman and Nicobar Islands;380,581;0.03%;6.90%;237,093;62.30%;143,488;37.70%;46/km2 (120/sq mi);876
35 (UT7);Lakshadweep;274,000;0.02%;17.80%;43,840;16%;230,160;84%;2,8/km2 (7.3/sq mi);853
36 (UT8);Lakshadweep;64,473;0.01%;6.30%;14,141;21.93%;50,332;78.07%;2,013/km2 (5,210/sq mi);946
